"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A012510",3126,2020,4,0,"DIRECT","19480514"
"A012510",3126,2020,4,0,"STORAGE","19480514"
"A012510",3126,2020,5,0,"DIRECT","19480514"
"A012510",3126,2020,5,0,"STORAGE","19480514"
"A012510",3126,2020,6,0,"DIRECT","19480514"
"A012510",3126,2020,6,0,"STORAGE","19480514"
"A012510",3126,2020,7,0,"DIRECT","19480514"
"A012510",3126,2020,7,0,"STORAGE","19480514"
"A012510",3126,2020,8,0,"DIRECT","19480514"
"A012510",3126,2020,8,0,"STORAGE","19480514"
"A012510",3126,2020,9,0,"DIRECT","19480514"
"A012510",3126,2020,9,0,"STORAGE","19480514"
"A012510",3126,2020,10,0,"STORAGE","19480514"
"A012510",3126,2020,10,0,"DIRECT","19480514"
"A012510",3126,2020,11,0,"STORAGE","19480514"
"A012510",3126,2020,11,0,"DIRECT","19480514"
"A012510",3126,2020,12,0,"STORAGE","19480514"
"A012510",3126,2020,12,0,"DIRECT","19480514"
"A012510",3126,2021,1,0,"STORAGE","19480514"
"A012510",3126,2021,1,0,"DIRECT","19480514"
"A012510",3126,2021,2,0,"STORAGE","19480514"
"A012510",3126,2021,2,0,"DIRECT","19480514"
"A012510",3126,2021,3,0,"DIRECT","19480514"
"A012510",3126,2021,3,0,"STORAGE","19480514"
"A012510",3126,2021,4,0,"DIRECT","19480514"
"A012510",3126,2021,4,0,"STORAGE","19480514"
"A012510",3126,2021,5,0,"DIRECT","19480514"
"A012510",3126,2021,5,0,"STORAGE","19480514"
"A012510",3126,2021,6,0,"DIRECT","19480514"
"A012510",3126,2021,6,0,"STORAGE","19480514"
"A012510",3126,2021,7,0,"DIRECT","19480514"
"A012510",3126,2021,7,0,"STORAGE","19480514"
"A012510",3126,2021,8,0,"STORAGE","19480514"
"A012510",3126,2021,8,0,"DIRECT","19480514"
"A012510",3126,2021,9,0,"DIRECT","19480514"
"A012510",3126,2021,9,0,"STORAGE","19480514"
"A012510",3126,2021,10,0,"DIRECT","19480514"
"A012510",3126,2021,10,0,"STORAGE","19480514"
"A012510",3126,2021,11,0,"DIRECT","19480514"
"A012510",3126,2021,11,0,"STORAGE","19480514"
"A012510",3126,2021,12,0,"DIRECT","19480514"
"A012510",3126,2021,12,0,"STORAGE","19480514"
"A012510",3126,2022,1,0,"DIRECT","19480514"
"A012510",3126,2022,1,0,"STORAGE","19480514"
