APPLICATION_NUMBER,WATER_RIGHT_TYPE
A023934,Appropriative
S022496,Statement of Div and Use
A028174,Appropriative
A028175,Appropriative
A024332,Appropriative
A026662,Appropriative
S014514,Statement of Div and Use
A023986A,Appropriative
A023986B,Appropriative
A021515,Appropriative
S002709,Statement of Div and Use
A029174,Appropriative
A023932,Appropriative
A021076,Appropriative
D031032R,Registration Domestic
A027328,Appropriative
A027328,Appropriative
A027329,Appropriative
A023562,Appropriative
S022565,Statement of Div and Use
A023742,Appropriative
S020432,Statement of Div and Use
S015653,Statement of Div and Use
A023933,Appropriative
A016963,Appropriative
S022566,Statement of Div and Use
A029042,Appropriative
S015248,Statement of Div and Use
D032145,Registration Domestic
D031984R,Registration Domestic
D032259,Registration Domestic
A027045,Appropriative
A027045,Appropriative
S002874,Statement of Div and Use
S002876,Statement of Div and Use
A024377,Appropriative
A020143,Appropriative
A015120,Appropriative
A023927,Appropriative
A023508,Appropriative
A023508,Appropriative
A029494,Appropriative
A029494,Appropriative
D032051,Registration Domestic
A022542,Appropriative
A029352,Appropriative
A029420,Appropriative
A029773,Appropriative
A008512A,Appropriative
A008801A,Appropriative
A011275,Appropriative
A014490,Appropriative
A018055,Appropriative
A029853,Appropriative
A012975,Appropriative
A029494,Appropriative
S010892,Statement of Div and Use
A030023,Appropriative
S016898,Statement of Div and Use
A024830,Appropriative
D033095,Registration Domestic
A029420,Appropriative
A008512A,Appropriative
A008801A,Appropriative
A018055,Appropriative
A029853,Appropriative
A028733,Appropriative
A008512B,Appropriative
A008801B,Appropriative
S007979,Statement of Div and Use
A008801A,Appropriative
A021856,Appropriative
H033069,Registration Irrigation
A023182,Appropriative
A025401,Appropriative
A008512A,Appropriative
A008801A,Appropriative
A018055,Appropriative
A029853,Appropriative
A011398,Appropriative
A008512A,Appropriative
A008801A,Appropriative
A018055,Appropriative
A029853,Appropriative
A023968,Appropriative
A008512A,Appropriative
A008801A,Appropriative
A011275,Appropriative
A014006,Appropriative
A018055,Appropriative
A029853,Appropriative
A009885,Appropriative
A031824,Appropriative
S016320,Statement of Div and Use
S016331,Statement of Div and Use
