"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A016249",NA,"",844,"Acre-feet per Year"
"A016308",NA,"",152.7,"Acre-feet per Year"
"A016319",NA,"",194.4,"Acre-feet per Year"
"A016334",NA,"",3.4,"Acre-feet per Year"
"A016347",NA,"",20.9,"Acre-feet per Year"
"A016357",NA,"",140.7,"Acre-feet per Year"
"A016381",NA,"",110.4,"Acre-feet per Year"
"A016398",NA,"",68.2,"Acre-feet per Year"
"A016405",NA,"",146.8,"Acre-feet per Year"
"A016416",NA,"",54,"Acre-feet per Year"
"A016440",NA,"",236,"Acre-feet per Year"
"A016443",NA,"",144.8,"Acre-feet per Year"
"A016457",NA,"",306.2,"Acre-feet per Year"
"A016467",NA,"",25,"Acre-feet per Year"
"A016472",NA,"",328.5,"Acre-feet per Year"
"A016478",NA,"",103,"Acre-feet per Year"
"A016524",NA,"",39,"Acre-feet per Year"
"A016525",NA,"",23.9,"Acre-feet per Year"
"A016527",NA,"",395,"Acre-feet per Year"
"A016545",NA,"",0.6,"Acre-feet per Year"
"A016557",NA,"",313,"Acre-feet per Year"
"A016561",NA,"",583.9,"Acre-feet per Year"
"A016655",NA,"",30,"Acre-feet per Year"
"A016670",NA,"",93,"Acre-feet per Year"
"A016671",NA,"",147,"Acre-feet per Year"
"A016673",NA,"",238.8,"Acre-feet per Year"
"A016758",NA,"",366.7,"Acre-feet per Year"
"A016777",NA,"",51.9,"Acre-feet per Year"
"A016821",NA,"",42.6,"Acre-feet per Year"
"A016825",NA,"",140.4,"Acre-feet per Year"
"A016904",NA,"",65,"Acre-feet per Year"
"A016961",NA,"",410,"Acre-feet per Year"
"A016973",NA,"",80.6,"Acre-feet per Year"
"A017056",NA,"",255.5,"Acre-feet per Year"
"A017081",NA,"",138.7,"Acre-feet per Year"
"A017091A",NA,"",8,"Acre-feet per Year"
"A017091B",NA,"",49,"Acre-feet per Year"
"A017091C",NA,"",13,"Acre-feet per Year"
"A017098",NA,"",10,"Acre-feet per Year"
"A017100",NA,"",60,"Acre-feet per Year"
"A017121",NA,"",2895.9,"Acre-feet per Year"
"A017145",NA,"",78,"Acre-feet per Year"
"A017232",NA,"",884.8,"Acre-feet per Year"
"A017237",NA,"",102,"Acre-feet per Year"
"A017240",NA,"",4.1,"Acre-feet per Year"
"A017263",NA,"",20,"Acre-feet per Year"
"A017271",NA,"",91,"Acre-feet per Year"
"A017366",NA,"",27,"Acre-feet per Year"
"A017477",NA,"",14,"Acre-feet per Year"
"A017479",NA,"",14,"Acre-feet per Year"
"A017508",NA,"",154,"Acre-feet per Year"
"A017551",NA,"",54.4,"Acre-feet per Year"
"A017587",NA,"",1440,"Acre-feet per Year"
"A017622",NA,"",60,"Acre-feet per Year"
"A017624",NA,"",192,"Acre-feet per Year"
"A017632",NA,"",578,"Acre-feet per Year"
"A017642",NA,"",7,"Acre-feet per Year"
"A017689",NA,"",16,"Acre-feet per Year"
"A017717",NA,"",30,"Acre-feet per Year"
