APPLICATION_NUMBER,WATER_RIGHT_TYPE
A023629,Appropriative
A023639,Appropriative
A023639,Appropriative
A023654A,Appropriative
A023654B,Appropriative
A023655,Appropriative
A023660,Appropriative
A023660,Appropriative
A023663,Appropriative
A023663,Appropriative
A023664,Appropriative
A023664,Appropriative
A023670,Appropriative
A023671,Appropriative
A023678,Appropriative
A023679,Appropriative
A023681,Appropriative
A023682,Appropriative
A023700,Appropriative
A023707,Appropriative
A023737,Appropriative
A023748,Appropriative
A023748,Appropriative
A023766,Appropriative
A023792,Appropriative
A023793,Appropriative
A023793,Appropriative
A023794,Appropriative
A023802,Appropriative
A023817,Appropriative
A023835,Appropriative
A023836,Appropriative
A023839,Appropriative
A023840,Appropriative
A023868,Appropriative
A023869,Appropriative
A023880,Appropriative
A023895,Appropriative
A023895,Appropriative
A023902,Appropriative
A023915,Appropriative
A023916,Appropriative
A023926A,Appropriative
A023926B,Appropriative
A023926B,Appropriative
A023949,Appropriative
A023998,Appropriative
A024004,Appropriative
A024010,Appropriative
A024013,Appropriative
A024013,Appropriative
A024013,Appropriative
A024013,Appropriative
A024013,Appropriative
A024014,Appropriative
A024017,Appropriative
A024025,Appropriative
A024028,Appropriative
A024028,Appropriative
A024028,Appropriative
A024044,Appropriative
A024050,Appropriative
A024051,Appropriative
A024051,Appropriative
A024053,Appropriative
A024056,Appropriative
A024101,Appropriative
A024104,Appropriative
A024104,Appropriative
A024126,Appropriative
A024130,Appropriative
A024130,Appropriative
A024130,Appropriative
A024139,Appropriative
A024140,Appropriative
A024141,Appropriative
A024141,Appropriative
A024163,Appropriative
A024173,Appropriative
A024205,Appropriative
A024209A,Appropriative
A024209A,Appropriative
A024209A,Appropriative
A024209B,Appropriative
A024209B,Appropriative
A024209B,Appropriative
A024223,Appropriative
A024238,Appropriative
A024247,Appropriative
A024266A,Appropriative
A024266B,Appropriative
A024268A,Appropriative
A024268A,Appropriative
A024268A,Appropriative
A024268A,Appropriative
A024268B,Appropriative
A024268B,Appropriative
A024268B,Appropriative
A024268B,Appropriative
A024269B,Appropriative
A024269B,Appropriative
A024270A,Appropriative
A024270A,Appropriative
A024270B,Appropriative
A024270B,Appropriative
A024271A,Appropriative
A024271B,Appropriative
A024300A,Appropriative
A024301,Appropriative
A024310A,Appropriative
A024310B,Appropriative
A024311A,Appropriative
A024311B,Appropriative
A024318,Appropriative
A024344,Appropriative
A024377,Appropriative
A024378,Appropriative
A024378,Appropriative
A024391,Appropriative
A024404,Appropriative
A024405,Appropriative
A024408,Appropriative
A024409,Appropriative
A024412,Appropriative
A024425,Appropriative
A024457,Appropriative
A024488,Appropriative
A024502,Appropriative
A024522A,Appropriative
A024522A,Appropriative
A024522B,Appropriative
A024522B,Appropriative
A024544,Appropriative
A024569,Appropriative
A024571A,Appropriative
A024571A,Appropriative
A024571A,Appropriative
A024571B,Appropriative
A024571B,Appropriative
A024571B,Appropriative
A024593A,Appropriative
A024593B,Appropriative
A024604,Appropriative
A024617,Appropriative
A024644,Appropriative
A024645,Appropriative
A024678B,Appropriative
A024682,Appropriative
A024688A,Appropriative
A024688B,Appropriative
A024691A,Appropriative
A024691A,Appropriative
A024691B,Appropriative
A024706,Appropriative
A024725,Appropriative
A024725,Appropriative
A024725,Appropriative
A024741,Appropriative
A024741,Appropriative
A024741,Appropriative
A024761,Appropriative
A024762A,Appropriative
A024762A,Appropriative
A024762A,Appropriative
A024762B,Appropriative
A024762B,Appropriative
A024762B,Appropriative
A024763B,Appropriative
A024764,Appropriative
A024774,Appropriative
A024780,Appropriative
A024782,Appropriative
A024782,Appropriative
A024782,Appropriative
A024783,Appropriative
A024784,Appropriative
A024789A,Appropriative
A024789B,Appropriative
A024789B,Appropriative
A024790A,Appropriative
A024791,Appropriative
A024805,Appropriative
A024807,Appropriative
A024817,Appropriative
A024820,Appropriative
A024827,Appropriative
A024854,Appropriative
A024864A,Appropriative
A024864A,Appropriative
A024864B,Appropriative
A024864B,Appropriative
A024865A01,Appropriative
A024865A02,Appropriative
A024865B,Appropriative
A024874,Appropriative
A024877,Appropriative
A024884,Appropriative
A024889,Appropriative
A024890,Appropriative
A024891,Appropriative
A024892A,Appropriative
A024892A,Appropriative
A024892A,Appropriative
A024892B,Appropriative
A024892B,Appropriative
A024893A,Appropriative
A024893A,Appropriative
A024893A,Appropriative
A024893B,Appropriative
A024893B,Appropriative
A024893B,Appropriative
A024894,Appropriative
A024894,Appropriative
A024894,Appropriative
A024894,Appropriative
A024894,Appropriative
A024898,Appropriative
A024898,Appropriative
A024899,Appropriative
A024899,Appropriative
A024905,Appropriative
A024909,Appropriative
A024912,Appropriative
A024919,Appropriative
A024921,Appropriative
A024929,Appropriative
A024929,Appropriative
A024931,Appropriative
A024932,Appropriative
A024935,Appropriative
A024946,Appropriative
A024951,Appropriative
A024951,Appropriative
A024955,Appropriative
A024955,Appropriative
A024955,Appropriative
A024958B,Appropriative
A024959,Appropriative
A024962,Appropriative
A024963,Appropriative
A024967,Appropriative
A024967,Appropriative
A024967,Appropriative
A024968A,Appropriative
A024968A,Appropriative
A024968A,Appropriative
A024968B,Appropriative
A024968B,Appropriative
A024968B,Appropriative
A024969B,Appropriative
A024969B,Appropriative
A024969B,Appropriative
A024972,Appropriative
A024993,Appropriative
A024993,Appropriative
A024995,Appropriative
A024996,Appropriative
A025005,Appropriative
A025010,Appropriative
A025012,Appropriative
A025015,Appropriative
A025019,Appropriative
