APPLICATION_NUMBER,effective_date,effective_from_date,effective_to_date
C000119,12/26/1975,09/15/1994,NULL
C000124,12/29/1975,09/15/1994,NULL
C000127,12/30/1975,09/15/1994,NULL
C000130,12/30/1975,08/07/2018,NULL
C000132,12/30/1975,08/07/2018,NULL
C000158,01/26/1976,09/15/1994,NULL
C000163,01/26/1976,06/17/2016,NULL
C000170,01/30/1976,08/10/2018,NULL
C000172,01/30/1976,08/10/2018,NULL
C000179,02/13/1976,09/15/1994,NULL
C000185,02/20/1976,09/15/1994,NULL
C000187,02/23/1976,09/15/1994,NULL
C000197,03/02/1976,09/15/1994,NULL
C000199,03/02/1976,09/15/1994,NULL
C000210,03/03/1976,09/15/1994,NULL
C000222,03/22/1976,08/06/2018,NULL
C000232,03/31/1976,09/15/1994,NULL
C000258,04/27/1976,03/20/2018,NULL
C000262,04/30/1976,02/02/2022,NULL
C000271,05/06/1976,06/20/2013,NULL
C000273,05/06/1976,06/20/2013,NULL
C000280,05/06/1976,12/09/2021,NULL
C000299,09/21/1976,09/15/1994,NULL
C000303,05/12/1976,09/15/1994,NULL
C000305,05/06/1976,03/29/2017,NULL
C000317,05/26/1976,09/15/1994,NULL
C000322,06/03/1976,09/15/1994,NULL
C000323,06/03/1976,09/15/1994,NULL
C000333,04/09/1976,09/15/1994,NULL
C000352,05/03/1976,09/15/1994,NULL
C000354,05/03/1976,09/15/1994,NULL
C000359,07/15/1976,09/15/1994,NULL
C000360,07/15/1976,09/15/1994,NULL
C000365,07/06/1976,09/15/1994,NULL
C000384,07/02/1976,02/23/2018,NULL
C000385,07/02/1976,08/08/2014,NULL
C000387,07/02/1976,08/08/2014,NULL
C000406,08/30/1976,07/24/2014,NULL
C000408,08/30/1976,07/24/2014,NULL
C000411,08/30/1976,07/24/2014,NULL
C000415,09/10/1976,01/18/2017,NULL
C000436,08/05/1976,01/06/2020,NULL
C000447,09/27/1976,09/15/1994,NULL
C000452,09/27/1976,09/15/1994,NULL
C000479,10/19/1976,09/15/1994,NULL
C000482,10/19/1976,09/15/1994,NULL
C000489,10/19/1976,09/15/1994,NULL
C000494,09/29/1976,09/15/1994,NULL
C000495,09/29/1976,09/15/1994,NULL
C000522,12/10/1976,04/27/2021,NULL
C000549,12/30/1976,09/15/1994,NULL
C000579,12/29/1976,09/15/1994,NULL
C000580,12/29/1976,09/15/1994,NULL
C000588,12/29/1976,08/07/2018,NULL
C000595,12/29/1976,08/07/2018,NULL
C000613,12/30/1976,09/15/1994,NULL
C000629,12/29/1976,09/15/1994,NULL
C000635,12/29/1976,09/15/1994,NULL
C000658,12/29/1976,09/15/1994,NULL
C000668,12/20/1976,06/04/2014,NULL
C000671,12/20/1976,06/04/2014,NULL
C000673,12/20/1976,06/04/2014,NULL
C000678,12/20/1976,06/04/2014,NULL
C000683,12/20/1976,06/04/2014,NULL
C000685,12/20/1976,06/04/2014,NULL
C000711,11/08/1976,08/13/2018,NULL
C000721,02/02/1977,02/13/2018,NULL
C000723,02/02/1977,02/13/2018,NULL
C000726,03/10/1977,09/15/1994,NULL
C000731,03/16/1977,09/15/1994,NULL
C000733,03/16/1977,09/15/1994,NULL
C000737,03/30/1977,09/15/1994,NULL
C000738,04/08/1977,05/06/2015,NULL
C000742,04/14/1977,02/06/2017,NULL
C000745,05/06/1977,09/15/1994,NULL
C000746,05/13/1977,08/10/2018,NULL
C000754,05/13/1977,10/04/2017,NULL
C000758,05/26/1977,09/15/1994,NULL
C000771,05/27/1977,12/09/2021,NULL
C000778,05/27/1977,12/09/2021,NULL
C000784,06/10/1977,09/15/1994,NULL
C000798,06/28/1977,09/15/1994,NULL
C000817,07/20/1977,09/15/1994,NULL
C000819,07/20/1977,09/15/1994,NULL
C000822,07/20/1977,09/15/1994,NULL
C000829,06/09/1977,01/23/2023,NULL
C000834,06/09/1977,02/26/2019,NULL
C000839,06/09/1977,03/10/2017,NULL
C000851,07/27/1977,09/15/1994,NULL
C000854,08/04/1977,09/15/1994,NULL
C000856,08/04/1977,09/15/1994,NULL
C000871,08/16/1977,09/15/1994,NULL
C000908,09/08/1977,04/07/2018,NULL
C000913,09/07/1977,09/15/1994,NULL
C000915,09/08/1977,10/20/2003,NULL
C000922,08/11/1977,03/20/2018,NULL
C000930,09/21/1977,09/15/1994,NULL
C000932,09/21/1977,09/15/1994,NULL
C000951,09/21/1977,09/15/1994,NULL
C000957,09/19/1977,09/15/1994,NULL
C000967,10/04/1977,09/15/1994,NULL
C000971,09/28/1977,09/15/1994,NULL
C000982,09/02/1977,09/15/1994,NULL
C000986,09/28/1977,09/15/1994,NULL
C000992,09/14/1977,03/05/2020,NULL
C000995,09/20/1977,09/15/1994,NULL
C001002,10/12/1977,09/15/1994,NULL
C001006,09/19/1977,12/17/2020,NULL
C001012,10/11/1977,02/21/2017,NULL
C001017,09/30/1977,03/14/2017,NULL
C001026,10/17/1977,09/15/1994,NULL
C001030,10/17/1977,03/17/2021,NULL
C001036,10/18/1977,08/06/2018,NULL
C001047,10/17/1977,02/21/2017,NULL
C001052,10/17/1977,08/06/2018,NULL
C001054,10/17/1977,08/06/2018,NULL
C001065,10/21/1977,01/13/2015,NULL
C001070,10/13/1977,09/15/1994,NULL
C001071,10/26/1977,08/27/2018,NULL
C001080,10/25/1977,08/22/2018,NULL
C001092,10/26/1977,09/15/1994,NULL
C001104,10/18/1977,05/07/2018,NULL
C001110,11/04/1977,09/15/1994,NULL
C001111,11/04/1977,09/15/1994,NULL
C001119,11/07/1977,03/29/2017,NULL
C001131,11/15/1977,03/30/2018,NULL
C001134,11/14/1977,09/15/1994,NULL
C001152,09/27/1977,09/15/2022,NULL
C001166,09/27/1977,08/18/2020,NULL
C001171,09/27/1977,08/18/2020,NULL
C001173,09/27/1977,08/18/2020,NULL
C001175,09/27/1977,08/18/2020,NULL
C001183,10/18/1977,09/15/1994,NULL
C001193,09/26/1977,09/15/1994,NULL
C001195,09/26/1977,09/15/1994,NULL
C001202,02/01/2019,08/07/2018,NULL
C001205,11/28/1977,09/15/1994,NULL
C001224,11/21/1977,06/13/2019,NULL
C001230,11/21/1977,03/09/2012,NULL
C001250,12/06/1977,09/15/1994,NULL
C001281,11/30/1977,12/19/2019,NULL
C001283,11/30/1977,12/19/2019,NULL
C001285,11/30/1977,12/19/2019,NULL
C001295,11/16/1977,09/15/1994,NULL
C001308,12/13/1977,09/15/1994,NULL
C001316,12/13/1977,02/13/2018,NULL
C001318,12/13/1977,02/13/2018,NULL
C001321,12/13/1977,02/13/2018,NULL
C001323,12/13/1977,08/18/2018,NULL
C001325,12/13/1977,08/18/2018,NULL
C001330,12/13/1977,09/15/1994,NULL
C001332,12/13/1977,09/15/1994,NULL
C001334,12/15/1977,09/15/1994,NULL
C001347,12/13/1977,11/15/2018,NULL
C001357,12/14/1977,09/15/1994,NULL
C001360,12/14/1977,03/05/1997,NULL
C001369,12/01/1977,09/15/1994,NULL
C001370,12/14/1977,02/18/2016,NULL
C001378,12/13/1977,09/15/1994,NULL
C001391,12/15/1977,09/15/1994,NULL
C001393,12/15/1977,09/15/1994,NULL
C001408,12/15/1977,12/19/2016,NULL
C001414,12/15/1977,09/15/1994,NULL
C001425,12/19/1977,09/15/1994,NULL
C001440,12/22/1977,09/15/1994,NULL
C001450,12/22/1977,09/15/1994,NULL
C001458,12/15/1977,09/15/1994,NULL
C001462,12/15/1977,09/15/1994,NULL
C001464,12/15/1977,09/15/1994,NULL
C001469,12/15/1977,09/15/1994,NULL
C001479,12/15/1977,09/15/1994,NULL
C001480,12/15/1977,09/15/1994,NULL
C001485,12/15/1977,09/15/1994,NULL
C001487,12/15/1977,09/15/1994,NULL
C001495,12/15/1977,09/15/1994,NULL
C001497,12/15/1977,09/15/1994,NULL
C001507,12/22/1977,10/10/2018,NULL
C001520,12/19/1977,12/19/1977,NULL
C001563,12/28/1977,09/15/1994,NULL
C001572,12/22/1977,02/13/2018,NULL
C001575,12/23/1977,09/15/1994,NULL
C001577,12/23/1977,09/15/1994,NULL
C001586,12/29/1977,09/15/1994,NULL
C001591,12/22/1977,02/26/2019,NULL
C001592,12/22/1977,12/19/1996,NULL
C001599,12/22/1977,03/10/2017,NULL
C001600,12/22/1977,03/10/2017,NULL
C001608,12/21/1977,09/15/1994,NULL
C001610,12/21/1977,09/15/1994,NULL
C001616,12/27/1977,09/15/1994,NULL
C001618,12/27/1977,09/15/1994,NULL
C001631,12/22/1977,09/15/1994,NULL
C001633,12/22/1977,09/15/1994,NULL
C001641,12/22/1977,09/15/1994,NULL
C001657,12/27/1977,09/15/1994,NULL
C001675,12/29/1977,09/15/1994,NULL
C001680,12/29/1977,09/15/1994,NULL
C001683,12/29/1977,09/15/1994,NULL
C001690,12/29/1977,09/15/1994,NULL
C001692,12/29/1977,09/15/1994,NULL
C001702,12/29/1977,03/26/2021,NULL
C001703,12/29/1977,09/15/1994,NULL
C001718,12/29/1977,09/15/1994,NULL
C001746,12/29/1977,09/15/1994,NULL
C001748,12/29/1977,09/15/1994,NULL
C001751,12/29/1977,09/15/1994,NULL
C001753,12/29/1977,09/15/1994,NULL
C001756,12/29/1977,09/15/1994,NULL
C001760,12/29/1977,09/15/1994,NULL
C001772,12/30/1977,09/15/1994,NULL
C001774,12/30/1977,09/15/1994,NULL
C001780,12/30/1977,09/15/1994,NULL
C001781,12/29/1977,08/10/2018,NULL
C001814,12/30/1977,09/30/2021,NULL
C001816,12/30/1977,09/30/2021,NULL
C001822,12/30/1977,09/30/2021,NULL
C001824,12/30/1977,09/30/2021,NULL
C001827,12/30/1977,01/09/2017,NULL
C001840,12/30/1977,01/09/2017,NULL
C001847,12/22/1977,09/15/1994,NULL
C001857,12/22/1977,09/15/1994,NULL
C001859,12/22/1977,09/15/1994,NULL
C001874,12/22/1977,09/15/1994,NULL
C001880,12/22/1977,09/15/1994,NULL
C001887,12/22/1977,09/15/1994,NULL
C001889,12/22/1977,09/15/1994,NULL
C001897,12/22/1977,09/15/1994,NULL
C001899,12/22/1977,09/15/1994,NULL
C001903,12/30/1977,04/06/2022,NULL
C001905,12/29/1977,07/19/2008,NULL
C001907,12/29/1977,07/19/2008,NULL
C001908,12/29/1977,01/21/2022,NULL
C001909,12/30/1977,10/13/2023,NULL
C001917,12/29/1977,08/06/2018,NULL
C001924,12/21/1977,11/07/2022,NULL
C001940,12/30/1977,03/30/2017,NULL
C001943,12/30/1977,08/13/2018,NULL
C001945,12/30/1977,09/15/1994,NULL
C001951,12/29/1977,09/15/1994,NULL
C001965,12/29/1977,07/02/2019,NULL
C001970,01/03/1978,09/15/1994,NULL
C001972,01/03/1978,09/15/1994,NULL
C001983,12/13/1977,09/15/1994,NULL
C001987,12/23/1977,09/15/1994,NULL
C001989,12/23/1977,09/15/1994,NULL
C002005,12/23/1977,09/15/1994,NULL
C002007,12/23/1977,09/15/1994,NULL
C002020,12/23/1977,09/15/1994,NULL
C002022,12/23/1977,09/15/1994,NULL
C002026,12/21/1977,09/15/1994,NULL
C002030,01/03/1978,06/27/2014,NULL
C002035,01/03/1978,04/28/2017,NULL
C002039,01/03/1978,04/28/2017,NULL
C002045,01/03/1978,04/28/2017,NULL
C002056,01/04/1978,10/08/2018,NULL
C002058,01/04/1978,10/08/2018,NULL
C002061,01/04/1978,10/08/2018,NULL
C002075,12/29/1977,09/15/1994,NULL
C002092,01/03/1978,09/15/1994,NULL
C002094,01/03/1978,09/15/1994,NULL
C002101,12/30/1977,09/15/1994,NULL
C002115,01/06/1978,09/15/1994,NULL
C002120,12/30/1977,09/15/1994,NULL
C002128,12/27/1977,09/15/1994,NULL
C002129,12/21/1977,09/15/1994,NULL
C002133,12/30/1977,09/15/1994,NULL
C002149,01/12/1978,09/15/1994,NULL
C002171,01/12/1978,09/15/1994,NULL
C002189,01/12/1978,09/15/1994,NULL
C002217,12/30/1977,09/15/1994,NULL
C002219,12/30/1977,09/15/1994,NULL
C002220,12/30/1977,09/15/1994,NULL
C002229,12/30/1977,09/15/1994,NULL
C002237,12/30/1977,03/28/2022,NULL
C002242,01/06/1978,09/15/1994,NULL
C002252,12/30/1977,09/15/1994,NULL
C002263,12/30/1977,02/21/2018,NULL
C002269,12/30/1977,02/21/2018,NULL
C002273,12/30/1977,02/21/2018,NULL
C002279,12/30/1977,02/21/2018,NULL
C002301,12/30/1977,08/17/2018,NULL
C002313,12/19/1977,09/15/1994,NULL
C002315,12/19/1977,09/15/1994,NULL
C002317,12/19/1977,09/15/1994,NULL
C002321,12/19/1977,09/15/1994,NULL
C002323,12/19/1977,09/15/1994,NULL
C002326,12/19/1977,09/15/1994,NULL
C002328,12/19/1977,09/15/1994,NULL
C002334,12/19/1977,09/15/1994,NULL
C002336,12/19/1977,09/15/1994,NULL
C002338,12/19/1977,09/15/1994,NULL
C002348,12/19/1977,02/24/2018,NULL
C002360,12/19/1977,03/06/2019,NULL
C002361,12/19/1977,02/24/2018,NULL
C002385,01/06/1978,09/15/1994,NULL
C002395,12/22/1977,11/18/2022,NULL
C002397,12/22/1977,11/18/2022,NULL
C002413,12/03/1977,03/28/2017,NULL
C002422,01/03/1978,09/15/1994,NULL
C002432,01/03/1978,09/15/1994,NULL
C002441,12/28/1977,03/21/2018,NULL
C002443,12/28/1977,03/21/2018,NULL
C002452,01/04/1978,12/03/2018,NULL
C002454,01/04/1978,12/03/2018,NULL
C002459,01/04/1978,12/03/2018,NULL
C002470,01/04/1978,12/03/2018,NULL
C002495,09/19/1977,09/15/1994,NULL
C002525,01/18/1978,03/08/2018,NULL
C002527,01/18/1978,03/08/2018,NULL
C002530,01/06/1978,09/15/1994,NULL
C002532,01/06/1978,09/15/1994,NULL
C002549,01/07/1978,09/15/1994,NULL
C002551,01/05/1978,09/15/1994,NULL
C002571,01/03/1978,09/15/1994,NULL
C002590,12/28/1977,09/15/1994,NULL
C002597,12/28/1977,09/15/1994,NULL
C002624,01/05/1978,08/06/2018,NULL
C002626,01/05/1978,08/06/2018,NULL
C002630,01/21/1978,06/26/2017,NULL
C002644,01/05/1978,09/15/1994,NULL
C002651,12/30/1977,09/15/1994,NULL
C002653,12/30/1977,09/15/1994,NULL
C002667,12/30/1977,09/15/1994,NULL
C002671,01/03/1978,07/30/2018,NULL
C002674,01/03/1978,07/30/2018,NULL
C002691,01/26/1978,09/15/1994,NULL
C002698,01/12/1978,09/15/1994,NULL
C002710,01/24/1978,02/03/2022,NULL
C002713,01/24/1978,03/08/2020,NULL
C002715,01/24/1978,03/08/2020,NULL
C002729,02/14/1978,09/15/1994,NULL
C002733,01/03/1978,09/15/1994,NULL
C002746,01/04/1978,03/10/2017,NULL
C002749,01/04/1978,05/28/2022,NULL
C002759,01/04/1978,03/10/2017,NULL
C002771,01/04/1978,05/28/2022,NULL
C002773,01/04/1978,05/28/2022,NULL
C002781,01/04/1978,05/28/2022,NULL
C002789,01/04/1978,05/28/2022,NULL
C002814,01/13/1978,09/15/1994,NULL
C002826,01/10/1978,08/07/2018,NULL
C002833,01/10/1978,09/15/1994,NULL
C002838,01/10/1978,09/15/1994,NULL
C002845,01/03/1978,09/15/1994,NULL
C002846,12/30/1977,09/15/1994,NULL
C002867,01/03/1978,09/15/1994,NULL
C002870,01/06/1978,08/17/2018,NULL
C002880,01/10/1978,09/15/1994,NULL
C002889,12/30/1977,06/17/2019,NULL
C002891,01/03/1978,02/21/2018,NULL
C002893,01/03/1978,02/21/2018,NULL
C002905,01/03/1978,02/21/2018,NULL
C002907,01/03/1978,02/21/2018,NULL
C002912,01/12/1978,07/11/2014,NULL
C002916,01/12/1978,04/11/2018,NULL
C002925,01/06/1978,09/15/1994,NULL
C002940,01/06/1978,05/11/2018,NULL
C002947,01/10/1978,09/15/1994,NULL
C002957,01/03/1978,09/14/2018,NULL
C002979,01/04/1978,03/10/2017,NULL
C002997,01/04/1978,03/10/2017,NULL
C002999,01/04/1978,03/10/2017,NULL
C003010,01/04/1978,03/10/2017,NULL
C003020,01/04/1978,08/06/2018,NULL
C003038,01/26/1978,09/15/1994,NULL
C003041,11/28/1977,04/14/2011,NULL
C003044,01/31/1978,09/15/1994,NULL
C003056,01/06/1978,05/23/2016,NULL
C003062,12/19/1977,05/22/2019,NULL
C003064,12/19/1977,05/22/2019,NULL
C003066,01/13/1978,06/09/2018,NULL
C003079,12/30/1977,06/21/2017,NULL
C003091,03/01/1978,09/15/1994,NULL
C003099,01/11/1978,08/22/2018,NULL
C003104,01/13/1978,09/15/1994,NULL
C003114,01/04/1978,09/15/1994,NULL
C003116,01/04/1978,09/15/1994,NULL
C003125,01/06/1978,10/03/2018,NULL
C003156,01/04/1978,04/10/2017,NULL
C003158,01/04/1978,04/10/2017,NULL
C003166,01/06/1978,08/13/2018,NULL
C003168,01/06/1978,08/13/2018,NULL
C003172,01/04/1978,09/15/1994,NULL
C003177,01/04/1978,09/15/1994,NULL
C003179,12/14/1977,09/15/1994,NULL
C003180,12/30/1977,09/15/1994,NULL
C003182,12/30/1977,09/15/1994,NULL
C003183,12/30/1977,09/15/1994,NULL
C003189,12/30/1977,09/15/1994,NULL
C003193,07/14/1978,09/15/1994,NULL
C003199,12/30/1977,09/15/1994,NULL
C003200,12/30/1977,09/15/1994,NULL
C003202,12/30/1977,09/15/1994,NULL
C003211,08/14/1977,09/15/1994,NULL
C003233,01/11/1978,09/12/2018,NULL
C003239,01/11/1978,09/12/2018,NULL
C003255,03/05/1979,04/01/2022,NULL
C003258,03/05/1979,10/04/2018,NULL
C003260,03/05/1979,04/01/2022,NULL
C003262,03/13/1979,08/02/2018,NULL
C003266,06/11/1979,09/15/1994,NULL
C003268,06/11/1979,09/15/1994,NULL
C003285,03/25/1980,07/31/2018,NULL
C003292,04/04/1980,09/15/1994,NULL
C003420,04/21/1980,05/24/2017,NULL
C003423,05/05/1980,04/27/2005,NULL
C003427,05/12/1980,05/01/2018,NULL
C003487,05/23/1980,09/15/1994,NULL
C003638,03/17/1981,09/14/2018,NULL
C003648,09/17/1981,09/15/1994,NULL
C003649,09/17/1981,09/15/1994,NULL
C003749,11/26/1982,09/15/1994,NULL
C003806,10/04/1983,09/15/1994,NULL
C003808,10/13/1983,09/15/1994,NULL
C003819,10/13/1983,09/15/1994,NULL
C003826,10/13/1983,09/15/1994,NULL
C003828,10/13/1983,09/15/1994,NULL
C003849,10/26/1992,09/15/1994,NULL
C003850,10/26/1992,09/15/1994,NULL
C003865,02/15/1984,07/07/2016,NULL
C003877,03/25/1985,11/01/1994,NULL
C003894,09/18/1986,11/06/2018,NULL
C003900,05/19/1987,08/22/2003,NULL
C003901,12/09/1987,08/22/2003,NULL
C003918,07/13/1994,03/30/2022,NULL
C003919,01/05/1989,03/30/2022,NULL
C003926,03/08/1989,02/26/2020,NULL
C003936,03/08/1989,02/26/2020,NULL
C003944,03/08/1989,02/26/2020,NULL
C003946,03/08/1989,02/26/2020,NULL
C003953,03/08/1989,04/22/2019,NULL
C003955,03/08/1989,04/22/2019,NULL
C003967,02/14/1990,09/15/1994,NULL
C003972,08/24/1990,09/15/1994,NULL
C003974,09/18/1990,09/15/1994,NULL
C003983,04/24/1991,08/10/2018,NULL
C003984,05/10/1991,12/28/2006,NULL
C004005,01/19/1993,01/16/2023,NULL
C004011,01/19/1993,08/07/2017,NULL
C004013,07/06/1993,02/26/2019,NULL
C004016,07/20/1993,01/30/1996,NULL
C004032,09/30/1993,08/06/2018,NULL
C004034,06/07/1994,09/15/1994,NULL
C004051,02/10/1995,02/10/1995,NULL
C004070,05/01/1997,06/16/2017,NULL
C004089,06/23/1997,04/22/1997,NULL
C004090,06/23/1997,04/29/1997,NULL
C004092,06/23/1997,04/29/1997,NULL
C004104,06/10/1997,11/15/2017,NULL
C004106,06/10/1997,11/15/2017,NULL
C004114,06/10/1997,11/15/2017,NULL
C004116,06/10/1997,11/15/2017,NULL
C004126,07/28/1997,07/29/1997,NULL
C004133,09/19/1997,08/29/1997,NULL
C004155,11/07/1997,12/27/2018,NULL
C004166,04/10/1998,04/11/1997,NULL
C004175,04/10/1998,04/11/1997,NULL
C004185,04/24/1998,01/15/1998,NULL
C004186,04/24/1998,07/07/2016,NULL
C004187,04/24/1998,01/15/1998,NULL
C004205,04/24/1998,06/02/2003,NULL
C004206,04/24/1998,07/07/2016,NULL
C004208,04/24/1998,07/07/2016,NULL
C004220,04/24/1998,07/07/2016,NULL
C004226,04/24/1998,07/07/2016,NULL
C004228,04/24/1998,01/21/1998,NULL
C004236,04/24/1998,01/22/1998,NULL
C004239,04/24/1998,01/22/1998,NULL
C004252,05/06/1998,07/07/2016,NULL
C004259,05/06/1998,07/07/2016,NULL
C004261,05/06/1998,07/07/2016,NULL
C004262,05/06/1998,01/22/1998,NULL
C004263,05/06/1998,07/07/2016,NULL
C004271,05/06/1998,07/07/2016,NULL
C004280,05/18/1998,01/27/1998,NULL
C004282,05/18/1998,01/27/1998,NULL
C004316,05/18/1998,07/07/2016,NULL
C004318,05/18/1998,07/07/2016,NULL
C004325,05/18/1998,01/27/1998,NULL
C004330,05/18/1998,07/07/2016,NULL
C004332,05/18/1998,07/07/2016,NULL
C004339,05/18/1998,07/07/2016,NULL
C004347,06/22/1998,07/07/2016,NULL
C004357,06/22/1998,07/07/2016,NULL
C004359,06/22/1998,07/07/2016,NULL
C004370,06/22/1998,07/07/2016,NULL
C004380,06/22/1998,06/03/2003,NULL
C004391,06/22/1998,06/03/2003,NULL
C004394,06/22/1998,06/03/2003,NULL
C004402,06/22/1998,06/03/2003,NULL
C004404,06/22/1998,06/03/2003,NULL
C004412,06/23/1998,02/21/2018,NULL
C004414,06/23/1998,02/21/2018,NULL
C004424,06/23/1998,08/05/2021,NULL
C004430,06/23/1998,05/31/2019,NULL
C004442,10/27/1998,05/31/2019,NULL
C004458,10/29/1998,04/11/1997,NULL
C004470,11/06/1998,04/11/1997,NULL
C004476,10/29/1998,04/11/1997,NULL
C004484,10/29/1998,04/14/1997,NULL
C004506,10/30/1998,04/29/1998,NULL
C004508,10/30/1998,04/29/1998,NULL
C004514,10/30/1998,02/24/1998,NULL
C004517,11/06/1998,04/17/1998,NULL
C004519,11/06/1998,04/17/1998,NULL
C004526,11/13/1998,04/11/1997,NULL
C004527,11/13/1998,11/04/1997,NULL
C004563,11/17/1998,10/26/2018,NULL
C004566,11/17/1998,04/29/1998,NULL
C004571,11/17/1998,01/29/1998,NULL
C004582,11/19/1998,04/29/1998,NULL
C004592,11/20/1998,10/29/1997,NULL
C004607,12/22/1998,12/08/1997,NULL
C004640,01/27/1999,12/16/2022,NULL
C004642,01/27/1999,12/16/2022,NULL
C004643,01/27/1999,12/16/2022,NULL
C004651,01/27/1999,03/07/2017,NULL
C004695,01/05/1998,07/29/2021,NULL
C004697,01/05/1998,07/29/2021,NULL
C004700,01/05/1998,07/29/2021,NULL
C004705,01/05/1998,12/22/1998,NULL
C004723,01/05/1998,08/21/2023,NULL
C004727,06/21/1999,03/18/2004,NULL
C004729,06/21/1999,03/18/2004,NULL
C004739,06/21/1999,03/30/2018,NULL
C004755,06/21/1999,03/30/2018,NULL
C004757,06/21/1999,03/30/2018,NULL
C004770,01/02/1998,06/15/1998,NULL
C004772,01/02/1998,06/15/1998,NULL
C004779,01/02/1998,06/15/1998,NULL
C004789,01/02/1998,06/15/1998,NULL
C004790,01/02/1998,06/15/1998,NULL
C004792,01/02/1998,06/15/1998,NULL
C004813,12/23/1997,01/14/1998,NULL
C004815,12/23/1997,01/14/1998,NULL
C004827,12/30/1997,02/27/2017,NULL
C004829,12/30/1997,02/27/2017,NULL
C004831,12/30/1997,03/03/1998,NULL
C004844,09/10/1997,02/13/2017,NULL
C004846,09/10/1997,02/13/2017,NULL
C004848,12/29/1997,02/09/1998,NULL
C004860,12/29/1997,02/09/1998,NULL
C004862,12/29/1997,02/09/1998,NULL
C004864,12/29/1997,02/09/1998,NULL
C004870,12/29/1997,02/09/1998,NULL
C004872,12/29/1997,02/09/1998,NULL
C004879,12/29/1997,02/09/1998,NULL
C004880,12/29/1997,02/10/1998,NULL
C004882,12/29/1997,02/10/1998,NULL
C004885,12/29/1997,02/10/1998,NULL
C004908,12/29/1997,02/10/1998,NULL
C004918,12/29/1997,02/11/1998,NULL
C004928,12/29/1997,02/17/1998,NULL
C004953,12/29/1997,02/18/1998,NULL
C004955,10/20/1997,04/26/2017,NULL
C004961,11/14/1997,11/17/1997,NULL
C004963,11/14/1997,11/17/1997,NULL
C004971,11/14/1997,11/17/1997,NULL
C004977,11/14/1997,11/17/1997,NULL
C004978,11/14/1997,11/17/1997,NULL
C004984,11/14/1997,11/17/1997,NULL
C004986,11/14/1997,11/17/1997,NULL
C004994,12/12/1997,07/23/2003,NULL
C005012,12/30/1997,03/01/2019,NULL
C005016,12/30/1997,04/17/1998,NULL
C005017,12/30/1997,03/01/2019,NULL
C005020,01/02/1998,04/14/2000,NULL
C005026,12/31/1997,04/23/1998,NULL
C005032,08/15/2000,04/17/2018,NULL
C005033,01/05/1998,04/17/2018,NULL
C005034,01/05/1998,06/21/2017,NULL
C005044,01/05/1998,06/07/2017,NULL
C005046,01/05/1998,06/07/2017,NULL
C005070,12/17/1997,12/23/1997,NULL
C005072,12/17/1997,12/23/1997,NULL
C005078,12/30/1997,04/17/1998,NULL
C005080,01/02/1998,03/11/2019,NULL
C005087,12/31/1997,03/01/2019,NULL
C005089,12/31/1997,04/28/1998,NULL
C005104,12/31/1997,11/23/1998,NULL
C005108,12/31/1997,02/16/2022,NULL
C005117,12/08/1997,12/11/1997,NULL
C005133,12/31/1997,02/14/2018,NULL
C005150,12/31/1997,12/15/1998,NULL
C005161,12/22/1997,10/02/2018,NULL
C005171,11/19/1997,11/20/1997,NULL
C005172,11/19/1997,11/20/1997,NULL
C005177,01/05/1998,01/06/1999,NULL
C005179,01/05/1998,01/06/1999,NULL
C005191,12/17/1997,03/21/2017,NULL
C005205,01/02/1998,12/22/1998,NULL
C005223,07/01/1997,06/21/2002,NULL
C005225,11/17/1997,11/17/1997,NULL
C005277,12/08/1997,12/11/1997,NULL
C005279,01/02/1998,09/04/2018,NULL
C005286,12/31/1997,12/20/2016,NULL
C005295,12/29/1997,06/02/2014,NULL
C005300,12/22/1997,03/08/2018,NULL
C005302,01/02/1998,06/15/1998,NULL
C005309,12/08/1997,12/08/1997,NULL
C005317,12/22/1997,01/05/1998,NULL
C005321,12/22/1997,01/05/1998,NULL
C005326,12/22/1997,01/05/1998,NULL
C005336,11/10/1997,11/13/1997,NULL
C005337,11/10/1997,11/13/1997,NULL
C005357,07/14/1997,07/16/1997,NULL
C005359,07/14/1997,07/16/1997,NULL
C005368,12/31/1997,09/07/2023,NULL
C005371,10/23/1997,10/28/1997,NULL
C005383,01/02/1997,02/16/2022,NULL
C005385,01/02/1998,02/16/2022,NULL
C005398,01/02/1998,02/07/2022,NULL
C005416,01/02/1998,04/27/1998,NULL
C005419,11/07/1997,05/27/2005,NULL
C005426,12/22/1997,03/19/2018,NULL
C005427,01/05/1998,12/21/1998,NULL
C005439,12/31/1997,12/23/1998,NULL
C005445,01/02/1998,04/27/1998,NULL
C005450,01/02/1998,04/27/1998,NULL
C005452,01/02/1998,04/27/1998,NULL
C005465,01/02/1998,12/24/1998,NULL
C005473,01/02/1998,02/11/2006,NULL
C005480,01/05/1998,08/02/2018,NULL
C005490,01/13/1998,01/06/1999,NULL
C005492,01/13/1998,01/06/1999,NULL
C005516,12/31/1997,03/15/2011,NULL
C005522,01/02/1998,12/21/1998,NULL
C005547,01/02/1998,08/21/2023,NULL
C005550,12/30/1997,02/23/1998,NULL
C005581,07/14/1997,07/16/1997,NULL
C005583,07/14/1997,07/16/1997,NULL
C005588,07/14/1997,07/16/1997,NULL
C005592,07/08/1998,01/23/2001,NULL
C005601,01/05/1998,12/17/2015,NULL
