"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"A017885",20.07,15.05,10.03
"A017881",27.97,33.77,30.58
"A017871",0,0,0
"A017868",1.67,1.25,2.68
"A017745",0,0,0
"A017642",7,7,7
"A017632",60.11,61.22,53.76
"A017624",35.18,26.38,43.98
"A017622",5.78,8.62,28.89
"A017587",360.46,308.48,338.94
"A017508",150,127.5,127.5
"A017366",4.5,4.65,3.87
"A017271",0,0,0
"A017240",1.32,1,0.8
"A017232",342.33,296.24,227.33
"A017145",0,0,0
"A017121",1259.47,1279.14,1096.13
"A017100",2.81,2.59,2.26
"A017091C",9.84,10.62,10.33
"A017091B",33.91,28.38,25.31
"A017091A",8,8,7.67
"A016973",19.35,20.59,24.23
"A016961",74.07,56.9,41.48
"A016825",0.07,0.05,0.03
"A016821",5.43,4.08,2.72
"A016758",14.45,19.05,12.7
"A016673",25.6,24.98,16.65
"A016671",10.27,9.87,9.87
"A016670",0.5,0.38,0.25
"A016655",1.22,1.19,1.19
"A016561",34.48,32.47,29.69
"A016557",312,312,219.76
"A016525",0.47,0.35,0.23
"A016472",0,1.5,2.12
"A016467",9.46,7.42,9.42
"A016443",0,0,0
"A016416",0,0,0
"A016405",0,0,0
"A016398",63.6,63.63,56.78
"A016381",110.4,110.4,85.87
"A016357",7.54,9.21,6.14
"A016347",0,0,0
"A016334",3.4,2.55,1.7
"A016319",0,0,0
"A016308",8.6,30.69,22.13
"A016249",180.13,190.16,140.94
"A016155",29.74,22.31,15.21
"A016141",0.25,0.5,0.9
"A016086",94.36,122.92,91.95
"A016077",0,0,0
"A015984",5.83,5.83,4.66
"A015983",5.09,4.92,3.28
"A015854",73.49,70.12,71.45
"A015796",0,0,0
"A015779",66,127,106.67
"A015782",21.66,18.5,12.44
"A015781",18.59,19.89,14.53
"A015780",254.83,242.53,192.07
"A015743",0.72,0.8,0.84
"A015728B",19.28,19.3,14.53
"A015728A",0,0,0
"A015729",4.73,5.32,3.55
"A015726",0,0,0
"A015727",0,0,0.01
"A015721",283.3,335.9,328.25
"A015704",1317.24,342.47,268.38
"A015678",0,NA,0
"A015677",0.26,3.03,5.86
"A015664C",6.27,6.04,4.83
"A015664B",14.35,13.9,11.84
"A015664A",0,0,0
"A015663",0,0,0
"A015610",0,NA,NA
"A015521",65.34,57.77,54.32
"A015399",0,0,0
"A015397",6.4,8.78,7.28
"A015370",10.84,11.9,11.12
"A015329B",0.07,0.2,0.15
"A015329A",0,0,0
"A015314",10.91,10.19,9.15
"A015277",8.64,10.24,6.83
"A015233",0,0,0
"A015187",0.47,0.45,0.43
"A015168",11.98,8.98,7.47
"A015157",8.94,6.7,5.87
"A015158B",0,0,0
"A015158A",0,14.72,4.91
"A015075",0,0,0
"A014997B",9.66,9.74,9.74
"A014997A",26.57,26.6,23.32
"A014916B",11.4,11.13,7.42
"A014916A",13.84,13.53,10.07
"A014904",0,0,0
"A014880",12.85,12.51,11.52
"A014875",31.41,33.7,22.47
"A014872",3.73,3.55,3.67
"A014856",0,0.6,0.73
"A014855",48.51,58.04,47.35
"A014842",0,0,0
"A014841",4.2,4.4,3.6
"A014826",125,93.75,62.5
"A014777",2.67,4.3,2.87
"A014749",8.51,6.38,7.1
"A014750",1.79,1.73,1.62
"A014735",68.66,53.62,50.38
"A014720",20.2,21.55,16.05
"A014715",5.93,4.45,3.83
"A014624",0,0,0
"A014539",5.13,12.73,12.94
"A014492",0,0,0.33
"A014466",1.78,2.16,3.89
"A014467",0,0,0
"A014459",18.68,19.75,22.25
"A014393",16.52,12.4,9.62
"A014339",0,0,0
"A014304",0,0,0
"A014259A",60,60,60
"A014246",6.71,5.23,3.92
"A014245",0,0,0
"A014215",11.03,11.34,9.07
"A014206",2.9,2.93,2.57
"A014172",0,0,0
"A014160",0,0,0
"A014144",0,0,0
"A014065",0,0,0
"A014047",0.1,2.97,3.77
"A014051",25.99,26.03,20.3
"A014049",67.84,72.98,48.65
"A014048",50.02,52.61,35.08
"A014044B",9.07,10.4,6.93
"A014044A",17.61,16.7,11.13
"A014045",0,0,2.86
"A014034",25.27,26.38,17.58
"A014033",42.96,55.88,52.02
"A014030",9.36,9.25,6.17
"A013989",2.66,2,1.79
"A013985",4.7,5.25,3.5
"A013984",18,13.5,9
"A013987",0,0,0
"A013974",0,0,0
"A013973",4.48,3.92,2.74
"A013967",3.35,2.5,1.67
"A013933",0,0,0
"A013932",4.36,7.53,19.44
"A013874",44.1,36.28,29.72
"A013864",4,4,4
"A013863",0,0,0
"A013862",3.67,4.14,4.24
"A013832",6.02,4.52,3.01
"A013831",6.67,7.89,8.99
"A013811",12.78,13.31,8.87
"A013810",6.95,9.45,8.73
"A013789",0,0,0
"A013758",21.2,19,14.32
"A013755",32.61,33.24,29.61
"A013753",0.03,0.02,0.02
"A013749",4.63,3.47,2.87
"A013729",20.8,18.81,12.54
"A013716",47.3,42.62,37.83
"A013706",9.63,9.65,7.74
"A013695",66.83,54.15,58.27
"A013661",107.78,125.22,96.63
"A013633",0,0,0
"A013579",4.11,3.09,2.47
"A013578",0,0.01,0.01
"A013557",0,8176.25,5807.17
"A013533",0,0,0
"A013528",16.29,14.68,9.95
"A013529",25.25,36.2,38.11
"A013474",20.33,26.97,19.89
"A013468",2.89,2.17,1.74
"A013391",0,0,0
"A013331",6.13,NA,NA
"A013289",5,3.95,2.63
"A013288",41.6,31.2,20.8
"A013287",17.76,13.32,8.88
"A013281B",0,0,0
"A013277",6.23,12.62,14.73
"A013270",43.08,32.3,21.97
"A013217",435.18,423.68,343.97
"A013182B",22.14,23.7,17.83
"A013182A02",5.27,5.64,4.9
"A013182A01",12.99,13,9.67
"A013161",0.13,0.12,0.08
"A013126B",5.9,9.65,6.43
"A013126A",5.72,5.59,4.87
"A013030B",71.98,70.61,52.88
"A013030A",0,12.16,21.88
"A012958",102.19,91.94,61.29
"A012951",28,28,28
"A012919B",4658.11,3590.94,2858.29
"A012525",0,0,0
"A012232",103.93,77.95,77.4
"A011846",25.83,19.38,12.92
"A011383",63.63,66.78,48.94
"A009832B",0,0,0
"A009832A",0.05,0.03,0.02
"A008974",0,0,0
"A006855",9.81,10.48,7.82
"A006854",0,0,0
"A006805A",0,0,0
"A006642",0,0,0
"A006464",0,0,0
"A004832",33.13,33,22
"A004307",0,0,0
"A004308",8.76,10.8,7.2
"A003601",11.45,15.37,18.51
"A003565",7.26,9.8,8.86
"A003421",0,0,0
"A002928",0,0,0
"A002723",0,0,0
"A001983",0,NA,NA
"S015510",0,0,0
"S015508",0,0,0
"S019769",996.87,1008.02,849.2
"S019766",183.5,161,166.53
"S017157",0,85,73.33
"S016900",1.97,3.21,2.71
"S014857",0.78,2.58,2.3
"S019395",0,0,0
"S019392",0,0,0
"S019389",2,1.5,1
"S015509",0,0,0
"S009905",0,0,0
"S014129",0,0,0
"S008380",2.74,2.73,2.73
"S021382",0,0,0
"S017160",15,15,15
"S018523",0.49,0.37,0.3
"S018457",0,0,0
"S018456",2,1.55,1.26
"S015020",21.16,21,14
"S015198",0.67,0.67,0.67
"S015197",1.05,0.89,0.61
"S022867",0,0,0
"S022865",89.6,106.17,84.51
"S022864",0,0,0
"S022862",0,0,0
"S022861",0,0,0
"S022860",12.77,12.35,30.5
"S013392",0.44,0.43,0.39
"S008714",0,0,0
"S023687",0,0,0
"S020096",4.47,4.46,3
"S017020",2.21,2.01,1.68
"S015925",11.44,11.44,11.44
"S015909",0,NA,NA
"S022856",9.38,8.6,6.71
"S022853",11.37,12.03,10.63
"S013755",0,0,0
"S027894",0,NA,NA
"S014237",1207.71,1226.4,1145.74
"S008430",0,0,6.03
"S015418",19.33,4.36,3.78
"S015196",1.49,1.48,1.16
"S017301",0.49,0.52,0.39
"S017281",11.04,10.85,8.56
"S023888",16.86,12.65,14.65
"S015365",0,0,0
