"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"S021475",968.5228,"Acre-feet",0,"Acre-feet per Year"
"S021991",0,"Acre-feet",0,"Acre-feet per Year"
"S021999",724.4,"Acre-feet",0,"Acre-feet per Year"
"S022008",1195.26,"Acre-feet",0,"Acre-feet per Year"
"S022015",202.832,"Acre-feet",0,"Acre-feet per Year"
"S022130",8.04,"Acre-feet",0,"Acre-feet per Year"
"S022287",113.0064,"Acre-feet",0,"Acre-feet per Year"
"S022407",403.4908,"Acre-feet",0,"Acre-feet per Year"
"S022466",14.488,"Acre-feet",0,"Acre-feet per Year"
"S022496",6,"Acre-feet",0,"Acre-feet per Year"
"S022557",28976,"Acre-feet",0,"Acre-feet per Year"
"S022558",119.526,"Acre-feet",0,"Acre-feet per Year"
"S022566",18110,"Acre-feet",0,"Acre-feet per Year"
"S022607",0.7244,"Acre-feet",0,"Acre-feet per Year"
"S022856",47.086,"Acre-feet",0,"Acre-feet per Year"
"S022860",162.99,"Acre-feet",0,"Acre-feet per Year"
"S022890",144.88,"Acre-feet",0,"Acre-feet per Year"
"S023515",100.8128,"Acre-feet",0,"Acre-feet per Year"
"S023682",0,"Acre-feet",0,"Acre-feet per Year"
"S023685",470.86,"Acre-feet",0,"Acre-feet per Year"
"S023695",651.96,"Acre-feet",0,"Acre-feet per Year"
"S023697",796.84,"Acre-feet",0,"Acre-feet per Year"
"S023712",4.6033,"Acre-feet",0,"Acre-feet per Year"
"S023869",31,"Acre-feet",0,"Acre-feet per Year"
"S023909",1.74,"Acre-feet",0,"Acre-feet per Year"
"S024104",42,"Acre-feet",0,"Acre-feet per Year"
"S024370",2426.74,"Acre-feet",0,"Acre-feet per Year"
"S024404",2.5203,"Acre-feet",0,"Acre-feet per Year"
"S024410",11.9526,"Acre-feet",0,"Acre-feet per Year"
"S024444",NA,"",0,"Acre-feet per Year"
"S024445",NA,"",0,"Acre-feet per Year"
"S024481",1.4346,"Acre-feet",0,"Acre-feet per Year"
"S024495",470.86,"Acre-feet",0,"Acre-feet per Year"
"S024509",161.3,"Acre-feet",0,"Acre-feet per Year"
"S024769",0.8065,"Acre-feet",0,"Acre-feet per Year"
"S025066",20.1625,"Acre-feet",0,"Acre-feet per Year"
"S025263",0.168,"Acre-feet",0,"Acre-feet per Year"
"S025345",NA,"",0,"Acre-feet per Year"
"S025401",4.3888,"Acre-feet",0,"Acre-feet per Year"
"S025486",2.7,"Acre-feet",0,"Acre-feet per Year"
"S025487",9.3,"Acre-feet",0,"Acre-feet per Year"
"S025703",0.1072,"Acre-feet",0,"Acre-feet per Year"
"S025714",0.0307,"Acre-feet",0,"Acre-feet per Year"
